iter	Passed	Remaining
564	1737	1337
565	1739	1334
566	1742	1330
567	1744	1327
568	1747	1323
569	1749	1319
570	1752	1316
571	1754	1312
572	1757	1309
573	1759	1305
574	1762	1302
575	1764	1299
576	1767	1295
577	1769	1291
578	1771	1288
579	1773	1284
580	1776	1281
581	1778	1277
582	1781	1273
583	1783	1270
584	1785	1266
585	1788	1263
586	1790	1259
587	1793	1256
588	1795	1252
589	1797	1249
590	1799	1245
591	1802	1242
592	1804	1238
593	1807	1235
594	1809	1231
595	1812	1228
596	1814	1225
597	1817	1221
598	1819	1218
599	1821	1214
600	1824	1211
601	1826	1207
602	1829	1204
603	1831	1201
604	1834	1198
605	1837	1194
606	1839	1191
607	1842	1187
608	1844	1184
609	1847	1181
610	1850	1177
611	1852	1174
612	1855	1171
613	1857	1167
614	1860	1164
615	1862	1161
616	1865	1157
617	1867	1154
618	1870	1151
619	1872	1147
620	1874	1144
621	1877	1140
622	1879	1137
623	1882	1134
624	1884	1130
625	1887	1127
626	1889	1124
627	1892	1120
628	1894	1117
629	1897	1114
630	1899	1110
631	1902	1107
632	1904	1104
633	1906	1100
634	1909	1097
635	1911	1094
636	1914	1090
637	1916	1087
638	1919	1084
639	1921	1080
640	1923	1077
641	1926	1074
642	1928	1070
643	1931	1067
644	1934	1064
645	1936	1061
646	1939	1057
647	1941	1054
648	1944	1051
649	1946	1048
650	1949	1044
651	1951	1041
652	1954	1038
653	1956	1035
654	1958	1031
655	1961	1028
656	1963	1025
657	1966	1021
658	1968	1018
659	1971	1015
660	1973	1012
661	1975	1008
662	1978	1005
663	1980	1002
664	1983	999
665	1986	996
666	1988	992
667	1990	989
668	1993	986
669	1995	982
670	1998	979
671	2000	976
672	2003	973
673	2005	970
674	2007	966
675	2010	963
676	2012	960
677	2015	957
678	2018	954
679	2020	950
680	2022	947
681	2024	944
682	2027	940
683	2029	937
684	2032	934
685	2034	931
686	2036	928
687	2039	924
688	2042	921
689	2044	918
690	2047	915
691	2049	912
692	2052	909
693	2054	905
694	2057	902
695	2059	899
696	2062	896
697	2065	893
698	2068	890
699	2070	887
700	2073	884
701	2075	881
702	2078	878
703	2080	874
704	2082	871
705	2085	868
706	2087	865
707	2090	862
708	2092	858
709	2095	855
710	2097	852
711	2100	849
712	2102	846
713	2104	843
714	2107	840
715	2109	836
716	2112	833
717	2114	830
718	2117	827
719	2119	824
720	2122	821
721	2124	818
722	2126	814
723	2129	811
724	2131	808
725	2133	805
726	2136	802
727	2138	799
728	2140	795
729	2143	792
730	2145	789
731	2148	786
732	2150	783
733	2152	780
734	2155	777
735	2157	773
736	2160	770
737	2162	767
738	2165	764
739	2167	761
740	2169	758
741	2172	755
742	2175	752
743	2177	749
744	2179	746
745	2182	743
746	2184	739
747	2187	736
